entity_id	total_population
EC-01	2323964.0
EC-01A	131012.0
EC-01B	192211.0
EC-01C	89806.0
EC-01D	93260.0
EC-01E	54682.0
EC-01F	88962.0
EC-01G	95506.0
EC-01H	191687.0
EC-01I	107883.0
EC-01J	252041.0
EC-01K	164510.0
EC-01L	252469.0
EC-01M	196423.0
EC-01N	245232.0
EC-01O	168280.0
EC-02	2304833.0
EC-02A	175525.0
EC-02B	142136.0
EC-02C	235291.0
EC-02D	144506.0
EC-02E	164580.0
EC-02F	178331.0
EC-02G	179565.0
EC-02H	197667.0
EC-02I	201521.0
EC-02J	207782.0
EC-02K	154005.0
EC-02L	186585.0
EC-02M	137339.0
EC-03	1221948.0
EC-03A	160089.0
EC-03B	183608.0
EC-03C	167260.0
EC-03D	109739.0
EC-03E	145246.0
EC-03F	159697.0
EC-03G	164969.0
EC-03H	131340.0
EC-04	1375382.0
EC-04A	67628.0
EC-04B	207752.0
EC-04C	113136.0
EC-04D	74388.0
EC-04E	61034.0
EC-04F	127070.0
EC-04G	88533.0
EC-04H	112393.0
EC-04I	49787.0
EC-04J	106027.0
EC-04K	110905.0
EC-04L	132286.0
EC-04M	124443.0
EC-05	484531.0
EC-05A	171913.0
EC-05B	88131.0
EC-05C	107677.0
EC-05D	116810.0
EC-06	711644.0
EC-06A	417817.0
EC-06B	101180.0
EC-06C	88528.0
EC-06D	104119.0
EC-07	1063334.0
EC-07A	67432.0
EC-07B	91315.0
EC-07C	92659.0
EC-07D	116143.0
EC-07E	129339.0
EC-07F	124988.0
EC-07G	104333.0
EC-07H	101749.0
EC-07I	128107.0
EC-07J	107269.0
EC-08	814048.0
EC-08A	134150.0
EC-08B	114414.0
EC-08C	120072.0
EC-08D	101741.0
EC-08E	102925.0
EC-08F	115805.0
EC-08G	124941.0
EC-09	599903.0
EC-09A	126950.0
EC-09B	97910.0
EC-09C	156392.0
EC-09D	218651.0
EC-10	697392.0
EC-10A	72726.0
EC-10B	65023.0
EC-10C	10003.0
EC-10D	82501.0
EC-10E	76997.0
EC-10F	51768.0
EC-10G	41527.0
EC-10H	64704.0
EC-10I	68142.0
EC-10J	50491.0
EC-10K	113510.0
EC-11	363823.0
EC-11A	99570.0
EC-11B	172060.0
EC-11C	92193.0
EC-12	526567.0
EC-12A	162149.0
EC-12B	242663.0
EC-12C	121755.0
EC-13	649402.0
EC-13A	221771.0
EC-13B	114791.0
EC-13C	99893.0
EC-13D	212947.0
EC-14	379541.0
EC-14A	103849.0
EC-14B	134252.0
EC-14C	141440.0
EC-15	1617287.0
EC-15A	127763.0
EC-15B	119583.0
EC-15C	141010.0
EC-15D	125098.0
EC-15E	97642.0
EC-15F	96128.0
EC-15G	114580.0
EC-15H	124225.0
EC-15I	131378.0
EC-15J	119946.0
EC-15K	99495.0
EC-15L	115017.0
EC-15M	116708.0
EC-15N	88714.0
EC-16	762396.0
EC-16A	220047.0
EC-16B	147182.0
EC-16C	151434.0
EC-16D	113223.0
EC-16E	130510.0
EC-17	860575.0
EC-17A	117151.0
EC-17B	110279.0
EC-17C	137668.0
EC-17D	140272.0
EC-17E	160127.0
EC-17F	85760.0
EC-17G	109318.0
EC-18	406088.0
EC-18A	108204.0
EC-18B	102027.0
EC-18C	195857.0
EC-19	815405.0
EC-19A	127394.0
EC-19B	65365.0
EC-19C	80188.0
EC-19D	75042.0
EC-19E	90571.0
EC-19F	77998.0
EC-19G	102802.0
EC-19H	110683.0
EC-19I	85362.0
EC-20	451058.0
EC-20A	107448.0
EC-20B	143663.0
EC-20C	199947.0
EC-21	1088007.0
EC-21A	135158.0
EC-21B	156785.0
EC-21C	111240.0
EC-21D	141040.0
EC-21E	134039.0
EC-21F	138256.0
EC-21G	90822.0
EC-21H	180667.0
EC-22	840648.0
EC-22A	113056.0
EC-22B	84968.0
EC-22C	88998.0
EC-22D	82769.0
EC-22E	119029.0
EC-22F	63018.0
EC-22G	97713.0
EC-22H	99127.0
EC-22I	91970.0
LG-11001	560971.0
LG-11002	60044.0
LG-11003	131643.0
LG-11004	252041.0
LG-11005	252469.0
LG-11006	134202.0
LG-11007	30308.0
LG-11008	196423.0
LG-11009	107883.0
LG-11010	184468.0
LG-11011	168280.0
LG-11012	60110.0
LG-11013	185122.0
LG-12001	142136.0
LG-12002	171831.0
LG-12003	63460.0
LG-12004	144506.0
LG-12005	164580.0
LG-12006	170814.0
LG-12007	7517.0
LG-12008	147494.0
LG-12009	28031.0
LG-12010	170289.0
LG-12011	31232.0
LG-12012	135332.0
LG-12013	62335.0
LG-12014	179565.0
LG-12015	154005.0
LG-12016	207782.0
LG-12017	109603.0
LG-12018	27736.0
LG-12019	186585.0
LG-13001	152127.0
LG-13002	30158.0
LG-13003	109236.0
LG-13004	157351.0
LG-13005	9909.0
LG-13006	64600.0
LG-13007	34381.0
LG-13008	52176.0
LG-13009	127280.0
LG-13010	32417.0
LG-13011	127176.0
LG-13012	37793.0
LG-13013	63960.0
LG-13014	81286.0
LG-13015	36669.0
LG-13016	50801.0
LG-13017	54628.0
LG-21001	67628.0
LG-21002	57914.0
LG-21003	63397.0
LG-21004	68711.0
LG-21005	15768.0
LG-21006	108482.0
LG-21007	26294.0
LG-21008	22505.0
LG-21009	51883.0
LG-21010	61034.0
LG-21011	127070.0
LG-21012	56061.0
LG-21013	86441.0
LG-21014	86434.0
LG-21015	19593.0
LG-21016	110905.0
LG-21017	103687.0
LG-21018	88533.0
LG-21019	37871.0
LG-21020	55254.0
LG-21021	38981.0
LG-21022	20936.0
LG-22001	70042.0
LG-22002	48492.0
LG-22003	23814.0
LG-22004	30884.0
LG-22005	29565.0
LG-22006	30242.0
LG-22007	42944.0
LG-22008	31920.0
LG-22009	15643.0
LG-22010	12533.0
LG-22011	29071.0
LG-22012	51354.0
LG-22013	68027.0
LG-23001	101180.0
LG-23002	88528.0
LG-23003	104119.0
LG-23004	51369.0
LG-23005	59596.0
LG-23006	86839.0
LG-23007	7076.0
LG-23008	7214.0
LG-23009	86405.0
LG-23010	44348.0
LG-23011	3762.0
LG-23012	71208.0
LG-31001	49975.0
LG-31002	67432.0
LG-31003	62498.0
LG-31004	64726.0
LG-31005	35574.0
LG-31006	32609.0
LG-31007	28640.0
LG-31008	53829.0
LG-31009	75008.0
LG-31010	29347.0
LG-31011	19990.0
LG-31012	58726.0
LG-31013	74834.0
LG-31014	27075.0
LG-31015	65747.0
LG-31016	86333.0
LG-31017	77776.0
LG-31018	45946.0
LG-31019	44880.0
LG-31020	62389.0
LG-32001	51186.0
LG-32002	63255.0
LG-32003	59160.0
LG-32004	50261.0
LG-32005	32304.0
LG-32006	52912.0
LG-32007	102564.0
LG-32008	34856.0
LG-32009	40969.0
